id,status,name,type,plant_name,current_operator,original_operator,co-owner,constructed_date,activated_date,field_name,latitude,longitude,location
ABGP0001001,Active,Maple Glen 15-36-036-16W4,GP,Maple Glen,Canadian Natural Resources Limited,,0.0% - Cansearch Resources Ltd.; 0.0% - Canadian Natural Resources Limited,,,,52.14108,-112.15671,15-36-036-16W4M
ABGP0001002,Suspended,Keyera Nevis Gas Plant 16-33-38-22W4,GP,Nevis,Keyera Energy Ltd.,,100.0% - Keyera Energy Ltd.,1956-01-01,,,52.31571,-113.07948,16-33-038-22W4M
ABGP0001003,Suspended,* Gulf Pincher Creek,GP,Pincher Creek,Gulf Canada Limited,,100.0% - Palmer Ranch (1984) Ltd.,,,,49.30742,-113.79413,01-23-004-29W4M
ABGP0001004,Active,Keyera Homeglen-Rimbey 2-05-44-01W5,GP,Rimbey,Keyera Energy Ltd.,,0.0% - Centipede Holdings Ltd.; 0.8% - Bellatrix Exploration Ltd.; 0.1% - Altagas Pipeline Partnership; 98.8% - Keyera Energy Ltd.; 0.1% - Mosaic Energy Ltd.; 0.0% - Canadian Natural Resources Limited; 0.0% - Bonavista Energy Corporation; 1.0% - Green Valley Energy Ltd.,1961-01-01,,,52.75808,-114.10751,02-05-044-01W5M
ABGP0001005,Suspended,* Gulf Gilby,GP,Gilby,Cenovus Energy Inc.,,100.0% - Cenovus Energy Inc.,,,,52.44144,-114.30466,06-13-040-03W5M
ABGP0001006,Abandoned,* Chevron Nevis,GP,Nevis,Chevron Canada Limited,,100.0% - Chevron Canada Limited,,,,52.37406,-113.0847,15-22-039-22W4M
ABGP0001007,Active,Mitsue 16-30-072-04W5,GP,Mitsue,Canadian Natural Resources Limited,,90.0% - Canadian Natural Resources Limited; 10.0% - Superman Resources Inc.,1974-01-01,,,55.27045,-114.59501,16-30-072-04W5M
ABGP0001008,Suspended,* Chevron Princess,GP,Princess,Chevron Canada Limited,,100.0% - Chevron Canada Limited,,,,50.68309,-111.54795,12-12-020-12W4M
ABGP0001009,Suspended,Sedalia 9-29-31-5 Gp,GP,Sedalia,Baytex Energy Ltd.,,100.0% - Baytex Energy Ltd.,1961-01-01,,,51.68719,-110.66947,09-29-031-05W4M
ABGP0001010,Suspended,* Norcen Campbell-Namao,GP,Campbell,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,53.68898,-113.56889,01-26-054-25W4M
