id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude,sub_type,location
ABGP0001001,Active,Maple Glen 15-36-036-16W4,GP,Maple Glen,Canadian Natural Resources Limited,0.0% - Cansearch Resources Ltd.; 0.0% - Canadian Natural Resources Limited,,52.14129,-112.15592,Gas Plant Sweet,15-36-036-16W4M
ABGP0001002,Suspended,Keyera Nevis Gas Plant 16-33-38-22W4,GP,Nevis,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,1956-01-01,52.31647,-113.07704,Gas Plant Sulphur Recovery,16-33-038-22W4M
ABGP0001003,Suspended,Gulf Pincher Creek,GP,Pincher Creek,Gulf Canada Limited,100.0% - Palmer Ranch (1984) Ltd.,,49.30742,-113.79413,Gas Plant Sulphur Recovery,01-23-004-29W4M
ABGP0001004,Active,Keyera Homeglen-Rimbey 2-05-44-01W5,GP,Rimbey,Keyera Energy Ltd.,0.0% - Centipede Holdings Ltd.; 0.8% - Bellatrix Exploration Ltd.; 0.1% - Altagas Pipeline Partnership; 98.8% - Keyera Energy Ltd.; 0.1% - Mosaic Energy Ltd.; 0.0% - Canadian Natural Resources Limited; 0.0% - Bonavista Energy Corporation; 1.0% - Green Valley Energy Ltd.,1961-01-01,52.75748,-114.10701,Gas Plant Sulphur Recovery,02-05-044-01W5M
ABGP0001005,Suspended,Gulf Gilby,GP,Gilby,I3 Energy Canada Ltd.,100.0% - I3 Energy Canada Ltd.,,52.44119,-114.30526,Gas Plant Sweet,06-13-040-03W5M
ABGP0001006,Abandoned,Chevron Nevis,GP,Nevis,Chevron Canada Limited,100.0% - Chevron Canada Limited,,52.37406,-113.0847,Gas Plant Sulphur Recovery,15-22-039-22W4M
ABGP0001007,Active,Mitsue 16-30-072-04W5,GP,Mitsue,Canadian Natural Resources Limited,90.0% - Canadian Natural Resources Limited; 10.0% - Superman Resources Inc.,1974-01-01,55.26891,-114.59255,Gas Plant Sweet,16-30-072-04W5M
ABGP0001008,Suspended,Chevron Princess,GP,Princess,Chevron Canada Limited,100.0% - Chevron Canada Limited,,50.68416,-111.54854,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,12-12-020-12W4M
ABGP0001009,Suspended,Sedalia 9-29-31-5 Gp,GP,Sedalia,Baytex Energy Ltd.,100.0% - Baytex Energy Ltd.,1961-01-01,51.68595,-110.66725,Gas Plant Sweet,09-29-031-05W4M
ABGP0001010,Suspended,Norcen Campbell-Namao,GP,Campbell,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,53.68884,-113.56821,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-26-054-25W4M
ABGP0001011,Abandoned,Shell Innisfail,GP,Innisfail,Shell Canada Limited,100.0% - Enhance Energy Inc.,,51.97099,-114.05192,Gas Plant Sweet,01-03-035-01W5M
ABGP0001012,Active,Pancdn Countess,GP,Makepeace,Torxen Energy Ltd.,100.0% - Torxen Energy Ltd.,,50.91585,-112.44874,Gas Plant Sweet,12-33-022-18W4M
ABGP0001013,Active,Keyera Gilby Plant 15-22-040-03W5,GP,Gilby,Keyera Energy Ltd.,80.2% - Keyera Energy Ltd.; 1.2% - Harvest Operations Corp.; 5.1% - Pengrowth Energy Corporation; 5.1% - Nal Resources Limited; 5.7% - Omers Energy Inc.; 1.3% - Signalta Resources Limited,,52.46344,-114.34751,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,15-22-040-03W5M
ABGP0001014,Active,Atco Carbon,GP,Carbon,Atco Next Energy Ltd.,100.0% - Atco Next Energy Ltd.,1967-01-01,51.47884,-113.05644,Gas Plant Sweet,08-17-029-22W4M
ABGP0001015,Suspended,Wardlow 2-31-22-11W4,GP,Wardlow,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1992-01-01,50.90862,-111.51286,Gas Plant Sweet,02-31-022-11W4M
ABGP0001016,Suspended,Cometra Wood River,GP,Cometra Wood River,Vintage Petroleum Canada; Inc.,100.0% - Vintage Petroleum Canada  Inc.,,52.69725,-113.29863,Gas Plant Sweet,16-08-043-23W4M
ABGP0001017,Suspended,Cessford 04-15-027-15W4,GP,Cessford,Canadian Natural Resources Limited,50.0% - Canadian Natural Resources Limited; 50.0% - Arc Resources Ltd.,1960-01-01,51.30065,-112.04278,Gas Plant Sweet,04-15-027-15W4M
ABGP0001018,Suspended,Taurus Consort 7-34-34-6W4 Gp,GP,Provost,Tamarack Valley Energy Ltd.,,1959-01-01,51.9599,-110.77,Gas Plant Sweet,07-34-034-06W4M
ABGP0001019,Suspended,Amoco Buck Creek,GP,Buck Creek,Bp Canada Energy Group Ulc,100.0% - Bp Canada Energy Group Ulc,,49.00159,-110.00785,Gas Plant Sweet,01-01-001-01W4M
ABGP0001020,Suspended,Devon Carstairs,GP,Carstairs,Hwn Energy Ltd.,20.0% - Bonavista Energy Corporation; 36.0% - Direct Energy Marketing Limited; 18.0% - Exxonmobil Canada Energy; 10.0% - Provident Energy Ltd.; 2.0% - Signalta Resources Limited; 8.0% - Bp Canada Energy Company,1960-01-01,51.53563,-114.20286,Gas Plant Sulphur Recovery,03-03-030-02W5M
ABGP0001021,Active,Garrington Olds,GP,Garrington,Whitecap Resources Inc.,100.0% - Whitecap Resources Inc.,1964-01-01,51.74161,-114.13404,Gas Plant Sulphur Recovery,06-18-032-01W5M
ABGP0001022,Active,Cessford 02-08-024-12W4,GP,Cessford,Canadian Natural Resources Limited,47.0% - Imperial Oil Limited; 52.0% - Canadian Natural Resources Limited,1958-01-01,51.02509,-111.64273,Gas Plant Sweet,02-08-024-12W4M
ABGP0001023,Abandoned,Imperial Leduc-Woodbend,GP,Leduc Woodbend,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,53.3541,-113.717,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,02-34-050-26W4M
