id,licensed_capacity_of_raw_gas_mcf/d,licensed_capacity_of_sales_gas_mcf/d,licensed_capacity_of_ethane_c2_bbl/d,licensed_capacity_of_ethane_plus_c2+_bbl/d,licensed_capacity_of_propane_c3_bbl/d,licensed_capacity_of_butane_c4_bbl/d,licensed_capacity_of_pentane_plus_c5+_bbl/d,licensed_capacity_of_ngl_bbl/d,licensed_capacity_of_lpg_bbl/d,licensed_capacity_of_sulphur_ton/d,design_capacity_of_raw_gas_mcf/d,design_capacity_of_sales_gas_mcf/d,design_capacity_of_oil_bbl/d,design_capacity_of_ethane_c2_bbl/d,design_capacity_of_propane_c3_bbl/d,design_capacity_of_butane_c4_bbl/d,design_capacity_of_pentane_plus_c5+_bbl/d,design_capacity_of_ngl_bbl/d,design_capacity_of_sulphur_ton/d
ABGP0001001,50111.51,48345.77,0.0,,0.0,0.0,106.98,,1171.1,0.0,10432.3,9437.84,0.0,0.0,0.0,0.0,0.0,157.32,0.0
ABGP0001002,150087.32,134301.66,0.0,,1541.75,1258.57,943.93,,,52.86,149381.02,110358.32,0.0,0.0,6292.87,5034.3,3775.72,0.0,55.12
ABGP0001003,89557.98,,,,,,,,,,,,,,,,,,
ABGP0001004,420880.15,353499.77,26115.41,0.0,18878.61,10068.59,14247.06,,0.0,52.86,400000.0,335999.94,12585.74,11956.45,10188.16,7079.48,14247.06,18123.47,165.35
ABGP0001005,,,,,,,,,,,,,,,,,,,
ABGP0001006,0.0,,,,,,,,,,,,,,,,,,
ABGP0001007,24861.52,,,,,,,,,,21188.8,21188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001008,,,,,,,,,,,,,,,,,,,
ABGP0001009,13984.61,13878.66,0.0,0.0,0.0,0.0,100.06,,0.0,0.0,8475.52,8475.52,0.0,0.0,0.0,0.0,0.0,50.34,0.0
ABGP0001010,,,,,,,,,,,,,,,,,,,
ABGP0001011,17727.96,,,,,,,,,,,,,,,,,,
ABGP0001012,60034.93,58269.19,0.0,0.0,0.0,0.0,0.0,,91.25,,44143.33,44143.33,0.0,0.0,0.0,0.0,0.0,364.99,0.0
ABGP0001013,70629.32,63566.39,,,1573.22,1069.79,1006.86,,,,60034.93,60034.93,0.0,0.0,1573.22,1069.79,1006.86,0.0,0.0
ABGP0001014,547024.12,545964.68,0.0,0.0,0.0,0.0,566.36,,0.0,,19423.06,17657.33,0.0,0.0,0.0,0.0,0.0,50.34,0.0
ABGP0001015,4237.76,,,,,,,,,,1412.59,12360.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001016,,,,,,,,,,,,,,,,,,,
ABGP0001017,9358.39,8828.67,0.0,0.0,0.0,0.0,62.93,,0.0,,21999.98,21999.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001018,14938.1,14337.75,0.0,0.0,0.0,0.0,0.0,,132.15,,11300.69,10594.4,629.29,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001019,,,,,,,,,,,,,,,,,,,
ABGP0001020,348131.94,296360.65,0.0,0.0,4134.42,3133.85,6613.81,,0.0,71.43,348131.94,296360.65,0.0,0.0,4134.42,3133.85,6613.81,0.0,80.14
ABGP0001021,84084.21,66921.29,0.0,0.0,881.0,755.14,5191.62,,0.0,439.16,84084.21,66921.29,0.0,125857.4,881.0,755.14,2164.75,0.0,439.16
ABGP0001022,50005.56,49910.21,0.0,0.0,0.0,0.0,37.76,,0.0,,59999.96,25906.48,,,,,,125.86,
ABGP0001023,42377.59,,,,,,,,,,,,,,,,,,
ABGP0001024,47851.37,47039.13,,,,,24.54,,11.96,,52971.99,52971.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001025,12501.39,,,,,,,,,,,,,,,,,,
ABGP0001026,6427.27,,,,,,,,,,,,,,,,,,
ABGP0001027,88286.66,,,,,,,,,,,,,,,,,,
ABGP0001028,4499.09,4061.19,,,,,,,302.06,5.24,11477.27,9888.11,20011.33,0.0,1661.32,1258.57,629.29,0.0,0.0
ABGP0001029,,,,,,,,,,,,,,,,,,,
ABGP0001030,,,,,,,,,,,,,,,,,,,
ABGP0001031,47780.74,45803.12,0.0,0.0,0.0,0.0,157.32,,0.0,,9888.11,9464.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001032,56715.35,,,,,,,,,,,,,,,,,,
ABGP0001033,17657.33,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001034,70629.32,52971.99,0.0,0.0,0.0,0.0,1573.22,,1258.57,,286048.77,261328.5,0.0,0.0,0.0,0.0,5034.3,3775.72,
ABGP0001035,,,,,,,,,,,,,,,,,,,
ABGP0001036,49899.62,49087.38,0.0,0.0,0.0,0.0,62.93,,332.26,,35314.66,35314.66,0.0,0.0,0.0,0.0,0.0,629.29,0.0
ABGP0001037,271428.5,205955.11,3233.28,0.0,1748.79,1303.25,2108.11,,0.0,656.43,123601.32,88286.66,0.0,2202.5,1415.9,943.93,2202.5,0.0,
ABGP0001038,26132.85,24861.52,0.0,0.0,0.0,0.0,0.0,,25.17,,20023.41,20023.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001039,27192.29,26839.14,,,,,12.59,,471.97,,59999.96,50999.67,0.0,0.0,0.0,0.0,0.0,471.97,0.99
ABGP0001040,0.0,,,,,,,,,,,,,,,,,,
ABGP0001041,10594.4,,,,,,,,,,,,,,,,,,
ABGP0001042,120069.85,106509.02,0.0,0.0,0.0,0.0,1887.86,,5172.74,,109475.45,97115.32,0.0,0.0,0.0,0.0,629.29,4719.65,0.0
ABGP0001043,41176.9,,,,,,,,,,41176.9,37080.4,0.0,0.0,534.89,585.24,547.48,0.0,0.0
ABGP0001044,14196.49,,,,,,,,,,20199.99,14549.64,0.0,0.0,0.0,0.0,138.44,0.0,0.0
ABGP0001045,258609.27,224883.77,19268.77,0.0,12396.95,7142.41,7048.01,,0.0,,90010.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001046,7910.48,,,,,,,,,,,,,,,,,,
ABGP0001047,158739.41,143554.1,,,,,2268.58,,4732.24,51.81,158739.41,143554.1,0.0,0.0,0.0,0.0,2268.58,4732.24,43.18
ABGP0001048,5297.2,4944.05,,,,,,,,,7945.8,3178.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001049,42377.59,40082.14,0.0,0.0,0.0,0.0,0.0,,660.75,0.0,35314.66,35314.66,0.0,0.0,0.0,0.0,0.0,188.79,0.0
ABGP0001050,317408.19,214713.15,0.0,0.0,2441.63,2580.08,4417.59,,2435.34,1869.52,317408.19,214713.15,0.0,0.0,2441.63,2580.08,4417.59,2435.34,1907.55
ABGP0001051,99269.52,72112.54,0.0,0.0,0.0,0.0,44.05,,0.0,870.16,77091.91,76985.96,0.0,0.0,0.0,0.0,0.0,0.0,771.62
ABGP0001052,,,,,,,,,,,,,,,,,,,
ABGP0001053,5000.56,,,,,,,,,,,,,,,,,,
ABGP0001054,124378.24,124378.24,,,,,,,,316.36,124378.24,114066.36,0.0,0.0,0.0,0.0,799.19,0.0,316.91
ABGP0001055,2118.88,,,,,,,,,,,,,,,,,,
ABGP0001056,284283.03,256914.17,5909.0,0.0,2831.79,1868.98,3964.51,,0.0,1577.41,178339.05,256914.17,0.0,5909.0,2831.79,1887.86,6292.87,0.0,1554.26
ABGP0001057,59152.06,56503.46,0.0,0.0,0.0,0.0,0.0,,1052.8,0.0,14999.9,14999.9,0.0,0.0,0.0,0.0,75.51,629.29,0.0
ABGP0001058,211217.0,203235.88,0.0,11471.9,0.0,0.0,5978.23,,4713.36,,190699.18,188982.88,0.0,0.0,0.0,0.0,1950.79,3146.43,0.0
ABGP0001059,8193.0,7698.6,0.0,0.0,0.0,0.0,50.34,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001060,490789.05,396371.77,24681.89,0.0,15580.52,8663.39,11018.82,,12005.54,53.57,490789.05,401185.16,0.0,21620.41,15580.52,8663.39,11018.82,0.0,55.1
ABGP0001061,,,,,,,,,,,,,,,,,,,
ABGP0001062,26132.85,21188.8,0.0,0.0,0.0,0.0,3605.19,,2458.62,,34608.37,31783.2,12585.74,0.0,0.0,0.0,629.29,1258.57,0.0
ABGP0001063,3178.32,,,,,,,,,,5826.92,1765.73,0.0,14.79,0.31,0.31,0.31,0.0,0.0
ABGP0001064,,,,,,,,,,,,,,,,,,,
ABGP0001065,12006.99,9888.11,,,,,,,202.63,,15008.73,15008.73,0.0,,,,0.0,409.04,0.99
ABGP0001066,,,,,,,,,,,,,,,,,,,
ABGP0001067,29311.17,,,,,,,,,,28746.14,25991.59,0.0,0.0,786.61,566.36,440.5,0.0,0.0
ABGP0001068,8828.67,8298.95,0.0,0.0,0.0,0.0,31.46,,0.0,,6356.64,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001069,172158.98,132500.61,16392.93,0.0,0.0,0.0,0.0,,13617.77,,70629.32,31783.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001070,70276.18,66391.57,,,1101.25,736.27,521.05,,,0.0,47674.79,42377.59,0.0,0.0,881.0,755.14,377.57,0.0,0.0
ABGP0001071,2118.88,,,,,,,,,,,,,,,,,,
