id,raw_gas_mcf/d,sales_gas_mcf/d,ethane__c2_bbl/d,propane__c3_bbl/d,butane__c4_bbl/d,pentane_plus__c5+_bbl/d,natural_gas_liquids_bbl/d,sulphur_ton/d,sub_type,location,injection_mcf/d,shrinkage_mcf/d,fuel_mcf/d,flared_mcf/d,other_mcf/d
ABGP0001001,3201.67,2958.23,0.0,0.0,0.0,16.32,29.72,0.0,Gas Plant Sweet,15-36-036-16W4M,0.0,38.05,176.12,0.23,0.0
ABGP0001002,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,Gas Plant Sulphur Recovery,16-33-038-22W4M,0.0,0.0,0.0,0.0,0.0
ABGP0001003,,,,,,,,,Gas Plant Sulphur Recovery,01-23-004-29W4M,,,,,
ABGP0001004,201227.85,151844.16,12715.62,12074.45,7100.35,0.0,0.0,8.84,Gas Plant Sulphur Recovery,02-05-044-01W5M,0.0,37156.72,11692.57,3293.15,0.0
ABGP0001005,367268.84,217590.15,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,06-13-040-03W5M,1896.28,117107.98,30172.73,1575.95,0.0
ABGP0001006,,,,,,,,,Gas Plant Sulphur Recovery,15-22-039-22W4M,,,,,
ABGP0001007,18709.02,17481.33,0.0,0.0,0.0,184.22,205.05,0.0,Gas Plant Sweet,16-30-072-04W5M,0.0,250.05,279.56,3.87,0.0
ABGP0001008,269.07,119.61,0.0,0.0,0.0,5.81,0.0,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,12-12-020-12W4M,0.0,63.34,109.25,0.0,0.0
ABGP0001009,1112.75,951.1,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,09-29-031-05W4M,0.0,6.61,111.53,0.0,0.0
ABGP0001010,10598.96,10576.17,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-26-054-25W4M,0.0,0.11,17.54,0.0,5.13
ABGP0001011,,,,,,,,,Gas Plant Sweet,01-03-035-01W5M,,,,,
ABGP0001012,39876.18,39292.0,0.0,0.0,0.0,56.98,107.24,0.0,Gas Plant Sweet,12-33-022-18W4M,0.0,137.5,561.73,10.14,0.0
ABGP0001013,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,15-22-040-03W5M,0.0,0.0,17.54,19.37,0.0
ABGP0001014,188381.74,188285.14,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,08-17-029-22W4M,0.0,0.0,96.6,0.0,0.0
ABGP0001015,843.34,753.34,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,02-31-022-11W4M,0.0,0.0,83.27,0.0,0.0
ABGP0001016,714.27,603.2,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,16-08-043-23W4M,0.0,1.37,65.05,3.42,41.24
ABGP0001017,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,Gas Plant Sweet,04-15-027-15W4M,0.0,0.0,0.0,0.0,0.0
ABGP0001018,2013.29,1696.75,0.0,0.0,0.0,20.85,55.13,0.0,Gas Plant Sweet,07-34-034-06W4M,0.0,72.4,118.66,6.47,0.0
ABGP0001019,,,,,,,,,Gas Plant Sweet,01-01-001-01W4M,,,,,
ABGP0001020,19612.62,14077.11,89.05,1401.85,1334.05,1844.1,0.0,2.86,Gas Plant Sulphur Recovery,03-03-030-02W5M,0.0,2597.79,2845.11,13.21,0.0
ABGP0001021,45571.41,36962.6,0.0,1248.12,668.81,0.0,0.0,116.6,Gas Plant Sulphur Recovery,06-18-032-01W5M,0.0,7409.02,2405.16,21.76,0.0
ABGP0001022,17855.21,16074.1,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,02-08-024-12W4M,0.0,6.04,1046.34,7.86,0.0
ABGP0001023,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,02-34-050-26W4M,0.0,0.0,21.9,0.0,0.0
ABGP0001024,5684.98,5035.19,0.0,0.0,0.0,24.28,100.79,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,01-14-085-13W6M,0.0,152.76,239.0,18.68,0.0
